id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
1,CLOUDSC,6,7.703939393939394,34.85938131313131,31.949,38.565,1.1636696728009859,34.875025252525276,31.964000000000002,38.579,3969240,38.565,17.15545183456501
7,CUMASTRN,6,3.1158333333333355,14.099378787878786,10.064,16.532,1.274939137968392,38.488532828282814,31.340999999999998,43.191,3969240,135.076,39.12412291313815
13,CPDYDDH,6,3.097222222222219,14.01370454545455,13.24,15.06,0.3385063783473194,14.033565656565653,13.257,15.081,3969240,83.473,12.08499335989376
14,LAITRI,6,3.1039393939393967,14.045292929292938,13.002,15.681,0.5793774004938775,14.066065656565657,13.023,15.703,23815440,83.473,17.084369619284477
25,CPG,6,2.6557070707070696,12.01626262626263,11.147,12.9,0.28164212270754474,68.53161616161617,66.508,69.745,3969240,129.224,13.589147286821706
31,LAITLI,6,2.6068939393939385,11.796199494949484,10.925,12.755999999999998,0.3501736829093187,11.876608585858586,11.005999999999998,12.834000000000001,103200240,126.322,14.35402947632485
37,LARCHE,6,2.378005050505051,10.75990656565656,9.537,13.373,0.5328194876670668,10.776719696969701,9.554,13.388,19846200,144.411,28.68466312719658
43,VERINT_DGEMM_1,6,2.265782828282821,10.252994949494946,9.969,10.548,0.11037856595611809,10.305815656565661,10.019,10.600999999999999,44766480,150.705,5.489192263936297
49,CUBASEN,6,1.8101767676767686,8.191224747474754,5.582000000000001,12.145999999999999,1.3358443923226757,8.197866161616163,5.586,12.155999999999999,3969240,225.201,54.04248312201547
55,VDFMAIN,6,1.7831818181818162,8.069047979797986,7.274,8.853,0.27566401347477726,38.72666919191917,32.303000000000004,42.535,7938480,168.142,17.835761888625324
61,>MPL-TRLTOM_COMMS         ( 806),1,1.5395454545454539,6.964575757575755,4.895,14.497,2.0208665396546035,6.964681818181816,4.895,14.497,6798,240.88,66.23439332275643
62,>MPL-TRMTOL_COMMS         ( 807),1,1.512424242424242,6.84272727272727,5.364,7.372999999999999,0.5949761351504793,6.842803030303029,5.364,7.374,6600,226.755,27.248067272480668
63,>MPL-TRLTOG_COMMS         ( 805),1,1.8669696969696972,8.44795454545455,5.681,13.231,1.6983799650238474,8.44806060606061,5.681,13.231,13200,223.275,57.06295820421736
64,VERDISINT,6,1.4133585858585862,6.396126262626262,6.022,6.77,0.12066817862984765,17.58421969696971,16.983,18.637,44779746,210.202,11.048744460856712
67,LASCAW,6,1.4514898989899006,6.568724747474751,6.17,6.977,0.14110603784975917,8.487411616161603,7.903,8.953,19846200,210.202,11.56657589221729
76,LATTEX,6,1.4086363636363637,6.373598484848484,6.007000000000001,6.928,0.17452643453680253,7.714795454545459,7.26,8.429,3969240,210.202,13.293879907621239
77,CPPHDDHE,6,1.3243181818181808,5.993623737373735,5.228,7.6160000000000005,0.39797504831418806,6.001414141414146,5.234,7.626,3969240,228.99599999999998,31.355042016806735
80,STATE_UPDATE,6,1.3624999999999998,6.16519191919192,5.789,7.098,0.22052806253380755,6.181765151515146,5.803999999999999,7.1160000000000005,16899960,218.425,18.44181459566075
91,VDFOUTER,6,1.2723737373737378,5.757709595959593,5.182,7.05,0.32972087007171524,44.4913611111111,37.66,48.278999999999996,3969240,229.2,26.49645390070921
94,CLOUD_SATADJ,6,1.293434343434342,5.852421717171716,5.562,6.305,0.12344400230220026,5.857742424242423,5.568,6.311,3969240,227.512,11.784298176050745
106,CUASCN,6,1.1931565656565655,5.3983383838383885,3.753,6.999,0.6017050512924078,7.570732323232325,5.856,9.197000000000001,3969240,253.28900000000002,46.378054007715384
111,FFTW_EXECUTE_DFT_C2R,6,1.1970454545454547,5.4154823232323235,4.428,6.059,0.42761053756735184,5.460502525252526,4.524,6.085,64460800,253.28900000000002,26.918633437861033
117,VDFEXCU,6,1.0922979797979802,4.942416666666664,4.225,5.557,0.2041573000520849,4.972631313131311,4.256,5.587999999999999,7938480,248.72,23.96976786035632
123,SINPUT_ARD,6,1.0446212121212104,4.727227272727273,4.306,5.143,0.1616979959282947,4.747101010101009,4.324,5.162999999999999,1821534,250.024,16.274547929224184
129,CLOUDVAR,6,0.9908333333333332,4.483318181818188,1.751,7.382000000000001,1.1626036057374187,4.487969696969691,1.754,7.388999999999999,3969240,329.86199999999997,76.28014088322948
134,SLTEND,6,0.9570202020202023,4.330098484848488,4.0089999999999995,4.822,0.1461730824160692,4.335931818181817,4.015,4.828,3969240,253.28900000000002,16.86022397345501
142,>MPL-TRGTOL_COMMS         ( 803),1,1.795757575757576,8.121742424242422,1.7890000000000001,16.471,3.5581381229323856,8.121893939393939,1.7890000000000001,16.471,13596,331.191,89.1384858235687
143,CPCUDDH,6,0.8160353535353536,3.692853535353535,3.313,4.084,0.15244733894701684,3.7024040404040406,3.323,4.093999999999999,7938480,269.348,18.878550440744355
149,STATE_COPY,6,0.7408333333333333,3.353249999999997,2.8739999999999997,4.566,0.2965683060048432,3.365926767676768,2.887,4.58,11907720,282.259,37.05650459921157
150,radiation_mcica_lw:solver_mcica_lw,6,0.7563636363636363,3.422467171717171,2.752,4.159,0.30144434830015815,5.551967171717169,4.334,6.736000000000001,121770,279.683,33.83024765568646
155,LARMES,6,0.7440909090909107,3.367340909090913,3.207,3.5060000000000002,0.047314701257863044,20.87272727272729,19.942,22.824,3969240,272.11,8.528237307472914
157,VDFHGHTN,6,0.7280050505050516,3.2940151515151523,1.909,4.046,0.37641664872948516,3.339474747474747,1.955,4.09,7938480,322.599,52.81759762728622
167,GPHPRE,6,0.7076767676767671,3.203457070707069,2.887,3.411,0.08474330966015547,3.218487373737375,2.9019999999999997,3.426,12767832,281.438,15.362063910876575
174,GPMKTEND,6,0.6313888888888886,2.8568939393939394,1.892,3.661,0.43224565666992115,2.8652929292929303,1.8980000000000001,3.6719999999999997,3969240,331.63199999999995,48.32013111171811
185,>OMP-SLCOMM1     2        (1120),6,0.8324494949494949,3.7670101010100954,1.389,7.93,1.4130045176807888,3.767116161616157,1.389,7.93,38412,353.30300000000005,82.484237074401
191,GPRCP,6,0.6937878787878781,3.139050505050503,2.785,3.458,0.11094905878516459,3.2016313131313137,2.8480000000000003,3.523,20500920,282.168,19.462116830537884
197,SU_AER_CLIMATOLOGY3D:LOAD_AEROSOL_SPECIES,1,0.6480303030303024,2.935136363636363,2.862,2.951,0.023996080682309087,2.935151515151514,2.862,2.951,858,284.301,3.0159268044730587
198,PHYS_ARRAYS_INI,6,0.5873484848484859,2.657459595959597,2.365,3.052,0.12140085660173,2.662593434343435,2.37,3.0580000000000003,3969240,301.96,22.509829619921355
204,CUFLXN,6,0.5371969696969703,2.4319520202020195,1.766,2.866,0.2392942475961704,2.4363282828282817,1.77,2.8710000000000004,3969240,336.744,38.38101884159107
205,LTINV_MOD,6,0.5516414141414145,2.495290404040406,1.7069999999999999,2.8360000000000003,0.30916789754065616,4.096487373737373,3.2030000000000003,4.368,236000,340.366,39.8095909732017
214,CUANCAPE2,6,0.5455555555555561,2.469454545454548,2.3890000000000002,2.6919999999999997,0.037945403211141905,2.4713560606060603,2.39,2.695,1023000,306.904,11.255572065378882
216,>OMP-SLCOMM2a    1        (1118),6,0.6009090909090921,2.719542929292931,1.185,4.6,0.592247477075063,2.719691919191922,1.185,4.6,38412,356.43699999999995,74.23913043478261
