id,%Time,WallTime,#Hits,IPC,Cycles/s,Instr/s,Flops/s,TOT_CYC,TOT_INS,L1_DCM,L2_DCM,L3_TCM,L1_ICM,VEC_DP,DP_OPS,VEC_SP,SP_OPS,TLB_DM,TLB_IM,Function,Scope,File
1,4.7,27.161,214,0.14,2003,278.0,61.0,54395.0,7544.0,169.0,97.398,18.306,5.626,405.0,1237.0,0.118,0.187,1.781,0.253,__read_nocancel,LIBC,??
2,4.2,24.165,483,0.67,2003,1346.0,893.0,48396.0,32510.0,1498.0,876.0,286.0,144.0,6766.0,14784.0,5.069,9.426,7.122,2.638,cloudsc_,IFS.DP,cloudsc.F90
3,3.6,20.629,413,0.74,2003,1490.0,1520.0,41310.0,30729.0,1212.0,654.0,221.0,52.486,9454.0,21879.0,2.015,3.544,20.671,1.277,_RTOR_00,MATH,??
4,3.2,18.269,368,2.25,2002,4505.0,240.0,36571.0,82285.0,403.0,211.0,71.71,3.613,1354.0,3013.0,0.478,0.52,7.441,0.265,MPID_nem_gni_poll,MPI,??
5,2.7,15.509,309,0.47,2004,948.0,1069.0,31066.0,14691.0,702.0,723.0,169.0,9.369,3596.0,12983.0,0.323,0.325,15.169,1.127,cpg_,IFS.DP,cpg.F90
6,2.4,13.907,278,0.47,2005,933.0,1091.0,27879.0,12969.0,1122.0,637.0,145.0,8.306,3416.0,11745.0,0.717,0.74,13.649,1.031,cpdyddh_,IFS.DP,cpdyddh.F90
7,2.3,12.977,261,2.37,2002,4738.0,350.0,25980.0,61485.0,325.0,139.0,44.901,3.077,1487.0,3043.0,0.61,0.67,4.949,0.179,GNI_SmsgGetNextWTag,ARIES,??
8,2.2,12.610,253,2.14,2002,4284.0,429.0,25241.0,54014.0,455.0,137.0,51.461,3.295,1409.0,3993.0,0.574,0.641,5.464,0.211,MPIDI_CH3I_Progress,MPI,??
9,1.9,11.160,223,0.69,2003,1384.0,926.0,22349.0,15440.0,625.0,395.0,135.0,66.46,3185.0,7143.0,2.118,4.286,3.558,1.128,cuadjtq_,IFS.DP,cuadjtq.F90
10,1.9,11.040,221,0.98,2003,1957.0,1685.0,22110.0,21596.0,688.0,400.0,103.0,3.94,5947.0,12650.0,0.484,0.496,13.964,0.336,laitli_,IFS.DP,laitli.F90
11,1.9,10.650,213,0.69,2003,1385.0,900.0,21328.0,14743.0,563.0,381.0,132.0,67.674,2924.0,6646.0,2.132,4.243,3.169,1.179,_RTOI,MATH,??
12,1.8,10.385,208,0.58,2004,1159.0,1205.0,20802.0,12029.0,677.0,414.0,116.0,12.336,3156.0,9355.0,0.494,0.978,9.815,0.722,__cray_dcopy_HSW,CRAYLIBS,??
13,1.7,9.952,199,0.53,2003,1061.0,776.0,19932.0,10557.0,472.0,364.0,116.0,23.935,2213.0,5506.0,1.503,2.517,16.2,0.612,__cray_dset_HSW,CRAYLIBS,??
14,1.7,9.663,193,0.84,2003,1691.0,1830.0,19350.0,16336.0,589.0,294.0,105.0,2.338,5279.0,12403.0,0.58,0.615,13.804,0.371,laitri_weno_,IFS.DP,laitri_weno.F90
15,1.7,9.654,194,2.23,2002,4459.0,386.0,19325.0,43041.0,305.0,104.0,37.451,2.217,1094.0,2625.0,0.189,0.223,3.132,0.169,GNI_CqGetEvent,ARIES,??
16,1.5,8.750,175,0.79,2003,1586.0,1884.0,17526.0,13877.0,503.0,282.0,94.268,2.09,4883.0,11598.0,0.421,0.409,13.485,0.352,laitri_,IFS.DP,laitri.F90
17,1.4,7.874,157,1.20,2003,2413.0,1345.0,15771.0,18999.0,713.0,341.0,59.993,3.963,3765.0,6826.0,0.118,0.142,6.913,0.126,lascaw_,IFS.DP,lascaw.F90
19,1.3,7.350,147,0.65,2003,1303.0,1018.0,14717.0,9572.0,543.0,249.0,89.665,46.426,2412.0,5060.0,1.637,3.048,2.131,0.751,cloudvar_,IFS.DP,cloudvar.F90
21,1.2,6.837,137,2.35,2002,4708.0,108.0,13687.0,32185.0,207.0,54.586,17.871,1.127,197.0,537.0,90983.0,90983.0,1.818,92078.0,GNII_DlaProgress,ARIES,??
22,1.1,6.258,127,0.84,2003,1673.0,1976.0,12532.0,10468.0,732.0,289.0,101.0,6.311,2722.0,9642.0,0.458,0.831,4.843,0.432,dgemm_kernel_a1b0_haswell,BLAS,??
23,1.0,5.900,118,0.65,2003,1302.0,925.0,11818.0,7679.0,469.0,228.0,73.65,39.645,1710.0,3742.0,1.452,2.6,1.878,0.629,vdfmain_,IFS.DP,vdfmain.F90
25,1.0,5.500,110,1.81,2003,3627.0,257.0,11012.0,19943.0,53.369,16.379,8.803,0.952,699.0,713.0,21552.0,21552.0,0.365,39563.0,MPIDI_Cray_shared_mem_coll_tree_reduce,MPI,??
26,0.9,5.400,108,0.66,2003,1313.0,904.0,10816.0,7090.0,343.0,207.0,65.997,26.851,1437.0,3439.0,1.479,2.234,1.716,0.494,__cray2_EXP_W_01,MATH,??
27,0.9,5.250,105,0.67,2003,1334.0,878.0,10515.0,7003.0,561.0,184.0,64.847,32.535,1391.0,3211.0,1.443,2.571,1.569,0.574,cubasen_,IFS.DP,cubasen.F90
28,0.9,5.249,105,1.21,2003,2422.0,760.0,10512.0,12710.0,224.0,160.0,65.586,1.432,1338.0,2650.0,0.417,0.496,4.0,0.145,_cray_mpi_memcpy_snb,MPI,??
29,0.9,5.100,102,0.68,2003,1354.0,928.0,10215.0,6904.0,555.0,189.0,62.527,31.244,1438.0,3292.0,1.171,2.151,1.381,0.548,vdfexcu_,IFS.DP,vdfexcu.F90
30,0.9,5.100,102,0.67,2003,1342.0,1129.0,10214.0,6842.0,371.0,183.0,58.445,31.084,1939.0,3817.0,1.333,2.194,1.533,0.536,cpphddhe_,IFS.DP,cpphddhe.F90
33,0.8,4.601,92,0.50,2004,1010.0,898.0,9219.0,4646.0,433.0,198.0,50.048,6.523,691.0,3438.0,0.21,0.293,3.835,0.354,cpcuddh_,IFS.DP,cpcuddh.F90
35,0.8,4.541,92,0.44,2002,878.0,1207.0,9091.0,3987.0,328.0,205.0,46.85,2.917,1231.0,4250.0,0.172,0.172,4.041,0.334,lattex_,IFS.DP,lattex.F90
36,0.8,4.450,89,0.68,2003,1358.0,983.0,8913.0,6042.0,232.0,161.0,55.553,28.268,1447.0,2921.0,0.993,1.792,1.367,0.477,vdfouter_,IFS.DP,vdfouter.F90
37,0.8,4.400,88,1.19,2003,2380.0,1608.0,8811.0,10472.0,302.0,203.0,34.237,2.452,2565.0,4511.0,0.121,0.121,4.051,91124.0,__asin,MATH,??
38,0.8,4.367,87,0.68,2003,1366.0,978.0,8748.0,5964.0,383.0,163.0,54.748,28.662,1367.0,2899.0,1.075,1.741,1.315,0.469,state_update_,IFS.DP,state_update.F90
39,0.7,4.000,80,0.67,2003,1345.0,927.0,8013.0,5378.0,290.0,150.0,50.319,24.992,1157.0,2548.0,0.951,1.724,1.221,0.448,cuascn_,IFS.DP,cuascn.F90
40,0.7,3.949,79,0.49,2002,988.0,1303.0,7906.0,3899.0,212.0,183.0,44.671,3.353,1222.0,3923.0,0.154,0.187,3.711,0.297,dgemm_tcopy_4_avx_autogen,BLAS,??
41,0.7,3.887,79,2.22,2002,4447.0,201.0,7782.0,17285.0,209.0,44.896,12.587,0.698,253.0,529.0,0.162,0.149,1.779,71327.0,MPID_nem_gni_check_localCQ,MPI,gni_poll.c
42,0.6,3.708,56,0.19,2003,380.0,15.0,7427.0,1409.0,41.608,49.266,0.282,1.32,22.086,33.035,88264.0,88264.0,0.535,75712.0,__pread_nocancel,PTHREAD,??
