id,%Time,WallTime,#Hits,IPC,Cycles/s,Instr/s,Flops/s,TOT_CYC,TOT_INS,L1_DCM,L2_DCM,L3_TCM,L1_ICM,VEC_DP,DP_OPS,VEC_SP,SP_OPS,TLB_DM,TLB_IM,Function,Scope,File
1,5.1,28.200,564,0.65,2003,1296.0,917.0,56476.0,36530.0,1509.0,1011.0,334.0,295.0,7936.0,17901.0,5.597,13.284,16.467,3.299,cloudsc_,IFS.DP,cloudsc.F90
2,3.7,20.445,409,0.72,2003,1434.0,1495.0,40946.0,29318.0,842.0,649.0,225.0,111.0,9058.0,21499.0,2.013,5.147,23.684,1.415,_RTOR_00,MATH,??
3,3.0,16.635,333,0.46,2004,918.0,1139.0,33322.0,15268.0,977.0,768.0,183.0,13.092,3959.0,14982.0,0.312,1.273,16.893,1.412,cpg_,IFS.DP,cpg.F90
4,2.8,15.081,303,2.30,2002,4614.0,312.0,30189.0,69572.0,187.0,155.0,50.926,30.811,1218.0,3480.0,0.24,0.939,7.839,0.256,MPID_nem_gni_poll,MPI,??
5,2.6,14.259,270,0.25,2003,496.0,39.0,28556.0,7066.0,70.061,70.939,14.908,9.545,156.0,391.0,0.0,0.0,0.592,0.185,__read_nocancel,LIBC,??
6,2.4,13.221,265,2.24,2002,4477.0,276.0,26466.0,59182.0,218.0,191.0,60.961,32.855,867.0,2773.0,0.606,2.377,8.597,0.309,GNI_SmsgGetNextWTag,ARIES,??
7,2.4,13.110,263,2.17,2002,4339.0,269.0,26240.0,56880.0,208.0,172.0,59.99,31.537,940.0,2576.0,0.482,1.922,9.145,0.254,MPIDI_CH3I_Progress,MPI,??
8,2.1,11.258,225,0.46,2003,914.0,1148.0,22551.0,10285.0,665.0,506.0,123.0,63.834,2710.0,10210.0,0.537,2.122,12.458,0.952,cpdyddh_,IFS.DP,cpdyddh.F90
9,2.0,10.800,216,0.95,2003,1910.0,1695.0,21630.0,20620.0,425.0,382.0,105.0,50.112,5746.0,12550.0,0.29,1.16,13.41,0.352,laitli_,IFS.DP,laitli.F90
10,1.9,10.550,211,0.70,2003,1396.0,954.0,21128.0,14726.0,584.0,398.0,129.0,103.0,3031.0,7026.0,2.121,4.702,4.511,1.227,cuadjtq_,IFS.DP,cuadjtq.F90
11,1.8,10.100,202,0.81,2003,1625.0,1881.0,20227.0,16411.0,344.0,305.0,112.0,45.196,5589.0,13403.0,0.578,2.307,15.904,0.416,laitri_weno_,IFS.DP,laitri_weno.F90
12,1.8,9.839,197,0.49,2003,978.0,771.0,19706.0,9616.0,450.0,361.0,119.0,31.157,2164.0,5418.0,1.218,1.753,14.469,0.683,__cray_dset_HSW,CRAYLIBS,??
13,1.7,9.292,186,0.64,2004,1275.0,1125.0,18614.0,11844.0,509.0,405.0,110.0,33.271,2471.0,7975.0,0.514,1.509,9.901,0.682,__cray_dcopy_HSW,CRAYLIBS,??
14,1.7,9.132,183,2.41,2002,4831.0,256.0,18281.0,44106.0,121.0,100.412,34.928,45.431,600.0,1736.0,0.264,1.022,6.171,0.152,GNI_CqGetEvent,ARIES,??
15,1.6,9.000,180,0.74,2003,1477.0,1868.0,18027.0,13288.0,292.0,264.0,98.772,48.38,4974.0,11838.0,0.279,1.113,16.682,0.346,laitri_,IFS.DP,laitri.F90
16,1.6,8.500,170,0.71,2004,1414.0,1553.0,17031.0,12012.0,520.0,409.0,117.0,62.308,2876.0,10315.0,0.522,1.962,9.567,0.619,dgemm_kernel_a1b0_haswell,BLAS,??
17,1.4,7.750,155,0.65,2003,1306.0,965.0,15523.0,10115.0,416.0,288.0,97.192,56.06,2298.0,5175.0,1.498,3.053,2.443,0.901,_RTOI,MATH,??
